City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
150,Formosa do Rio Preto,100,BR,1584300288,90,-11.05,-45.19,77.88,5.68
151,Norman Wells,75,CA,1584300288,61,65.28,-126.83,17.6,18.34
152,Bluff,76,NZ,1584299999,93,-46.6,168.33,53.01,15.01
153,Wellington,50,NZ,1584300196,82,-41.29,174.78,62.01,18.34
154,Egvekinot,99,RU,1584300288,99,66.32,-179.17,8.22,6.24
155,Sola,75,VU,1584300288,83,-13.88,167.55,82.4,23.87
156,Bodden Town,20,KY,1584300288,70,19.28,-81.25,84.2,18.34
157,Shizunai-furukawachō,99,JP,1584300288,69,42.33,142.37,22.62,3.38
158,Tucupita,81,VE,1584300288,42,9.06,-62.05,95.34,2.89
159,Salalah,75,OM,1584300042,65,17.02,54.09,77.0,10.29
160,Plastun,0,RU,1584300289,72,44.76,136.29,12.9,10.4
161,Meadow Lake,1,US,1584300289,28,34.8,-106.54,63.0,4.7
162,Bonthe,100,SL,1584300289,62,7.53,-12.51,84.72,11.99
163,Huarmey,47,PE,1584300289,46,-10.07,-78.15,85.26,11.1
164,Tomatlán,74,MX,1584300289,39,19.93,-105.25,91.02,5.59
165,Vestnes,75,NO,1584300289,98,62.63,7.09,39.2,12.75
166,Ambilobe,100,MG,1584300289,90,-13.2,49.05,79.5,9.73
167,Mar del Plata,20,AR,1584300023,59,-38.0,-57.56,68.0,9.17
168,Hilo,90,US,1584300289,73,19.73,-155.09,75.2,4.7
169,Hamilton,90,US,1584300289,76,39.18,-84.53,46.0,10.29
170,Boguchany,94,RU,1584300289,91,58.38,97.45,30.36,9.75
171,Banda Aceh,100,ID,1584300290,93,5.56,95.32,75.72,5.26
172,Beloha,18,MG,1584300290,87,-25.17,45.05,72.48,12.62
173,Desaguadero,27,PE,1584300290,56,-16.57,-69.04,55.74,11.61
174,Ancud,20,CL,1584300290,56,-41.87,-73.82,68.0,8.05
175,Brainerd,75,US,1584300290,55,46.36,-94.2,33.8,6.29
176,Kaputa,99,ZM,1584300290,93,-8.47,29.66,69.06,2.08
